Symbol	GSM452235	GSM452236	GSM452237	GSM452238	GSM452239	GSM452240	GSM452241	GSM452242	GSM452243	GSM452246	GSM452247	GSM452248	GSM452250	GSM452251	GSM452252	GSM452253	GSM452254	GSM452255	GSM452256	GSM452257	GSM452258	GSM452259	GSM452260
CCDC33	28.6287	50.3366	33.8344	36.0127	51.9988	54.1081	41.7831	41.1314	41.7123	45.8882	40.1334	36.1735	32.4778	33.2115	32.8634	28.4498	46.1261	51.02	124.091	66.0405	68.2314	23.0598	61.4524
DNAH12	0.995059	0.930236	1.77029	1.73078	6.15817	14.9729	3.34333	14.9381	0.388615	1.55127	2.0439	2.49596	8.46196	20.9615	2.57824	3.01201	5.89642	1.30624	8.2145	4.96053	15.1967	1.95262	22.8971
IGFN1	4.77784	6.18212	4.55355	3.21694	2.48761	4.09513	22.6097	4.35006	2.53423	4.41683	17.3797	2.69103	2.51504	17.3494	4.09694	5.21953	3.32918	3.59482	7.00442	4.0838	3.94344	4.025	1.80168
UBR4	30.0438	39.6306	25.7898	36.692	29.1577	22.0657	36.6363	4.33464	67.7846	3.42886	14.2747	18.3678	36.9495	53.782	4.32368	48.4257	36.3096	60.4405	61.74	51.5568	20.0741	27.3107	50.3926
RNF17	2.07104	2.74594	2.7823	2.7932	2.71463	2.68949	2.62729	3.89622	2.76507	1.38301	2.42483	2.34038	1.29263	4.45069	2.91435	1.77538	1.71422	3.33396	1.65549	8.64536	3.0028	2.64103	2.06919
MGAT5B	1.09178	3.91774	1.99875	3.48832	1.8703	4.64049	1.36407	2.09833	3.1517	1.73343	1.27382	3.31717	1.80161	2.53188	2.42691	2.81052	1.56243	1.45276	5.751	2.0595	2.22953	4.01563	4.5434
F11	1.25293	1.09752	1.50106	9.09698	0.493923	1.49996	19.4558	13.3436	2.03761	0.460684	0.659794	1.11115	5.91681	9.21999	1.46989	9.10707	8.61979	0.668159	9.91253	7.7175	9.67352	6.0284	9.08505
ZNF627	6.6719	2.74788	1.88487	4.56066	10.7423	6.08662	5.37047	3.55526	5.71586	5.55952	2.76265	4.06292	2.69806	6.79543	7.47708	5.03223	6.88967	7.97451	4.12131	34.0591	14.3453	5.23993	35.4899
TMBIM4	61.2743	68.7256	106.758	72.5785	58.3669	100.218	45.4895	69.885	79.1502	63.2916	55.1419	74.7057	57.3542	78.0853	55.1203	73.6774	50.7816	54.1388	29.4147	91.6165	34.3825	45.2704	36.889
SLC38A10	3.30725	3.43909	1.55252	3.12892	2.1742	13.1947	3.18706	5.60007	2.35048	1.77585	2.33421	3.07848	2.05535	3.36566	2.35829	7.7738	3.5606	2.49628	3.24533	5.95523	2.23754	1.00767	12.0758
