Symbol	GSM998327	GSM998335	GSM998346	GSM998318	GSM998319	GSM998320	GSM998322	GSM998324	GSM998325	GSM998326	GSM998328	GSM998331	GSM998332	GSM998333	GSM998336	GSM998337	GSM998340	GSM998342	GSM998345	GSM998348
OSBPL8	1.826	1.504	NA	3.415	2.366	-0.264	1.645	-0.776	-0.076	0.183	1.395	2.333	0.032	0.352	-0.263	6.367	0.505	1.237	-1.752	0.374
OSBPL9	2.853	NA	0.424	0.611	-2.474	3.662	2.66	3.846	1.854	0.177	NA	1.304	0.576	0.692	0.723	0.74	3.262	0.722	NA	0.273
OSGEP	-0.162	-0.677	2.398	-1.165	0.272	-0.141	-2.234	0.509	0.371	0.945	0.098	1.054	0.263	1.53	1.408	1.725	-0.453	1.281	0.647	0.333
OSGIN2	0.76	1.159	-0.181	-1.337	0.403	0.287	1.063	-0.562	-0.098	0.237	1.333	0.116	0.101	0.377	-0.153	-0.218	0.133	1.921	0.956	1.262
OSM	NA	4.248	NA	NA	NA	6.111	NA	NA	2.71	4.129	7.524	NA	1.361	3.674	NA	8.229	4.295	2.215	NA	1.611
OSMR	0.5	0.679	-0.228	2.572	1.577	-0.143	-2.435	-1.537	1.743	-2.067	-1.95	0.96	-0.074	-2.569	-3.145	-1.364	-2.451	-2.944	-0.782	-0.972
OSTF1	2.005	2.136	2.509	0.861	2.624	1.446	-2.36	1.881	2.705	2.056	2.587	1.996	1.896	1.883	2.061	1.805	1.768	1.754	2.593	2.319
OSTM1	0.709	4.683	NA	NA	3.306	7.808	NA	2.933	1.957	NA	1.51	NA	0.157	NA	-1.237	NA	-0.874	1.365	1.814	1.429
OTOR	-3.078	-3.358	-3.465	-4.524	-5.025	-3.445	-0.961	-3.549	-5.718	-4.322	-3.241	-2.739	-4.301	-4.29	-6.722	-4.217	-6.011	-4.557	-4.965	-2.942
OTUB1	3.919	3.139	4.029	1.644	4.056	2.261	-0.323	3.975	4.08	3.945	3.264	3.34	3.395	3.369	4.393	2.841	2.537	3.362	3.195	4.238
