Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
SLC9A6	-0.824058823529412	1.41255	-2.63360889680559	0.0150371089594676	0.17928166781911	-3.10573970110249
SLC9A7	1.05137254901961	0.403	2.50553782152843	0.0199695277356552	0.200739999631727	-3.35370876957487
SLC9A8	0.878941176470589	0.5141	2.06122677352263	0.0510756524753857	0.304202460422493	-4.15809821234894
SLC9A9	0.0590196078431367	0.4145	0.116349640550807	0.90841227681368	0.975045917995394	-6.06916208820304
SLC9B2	0.831294117647057	-0.5484	1.41025042102125	0.172201429982359	0.514002533653646	-5.13425023834049
SLCO1A2	0.255235294117648	1.22795	0.531886625841626	0.600040572669181	0.852714139903344	-5.93666696669507
SLCO1B1	0.459	-2.71585	0.585252300028552	0.564227958083361	0.836285341249259	-5.90756654668883
SLCO2A1	-0.749686274509804	-0.4769	-1.1327407106028	0.269302748019765	0.621000497649014	-5.45879097413002
SLCO2B1	0.0182000000000006	-1.53516666666667	0.0292060062407643	0.976984129451236	0.994035939884716	-6.06605692263389
SLCO3A1	6.98628571428571	3.184	3.00412320501219	0.0127108959818088	0.163913878558292	-2.66840944365785
SLCO4A1	0.546313725490197	-0.9533	0.891244596816256	0.382271558598922	0.719646542656014	-5.68961030898204
SLFN11	1.12375	1.58031578947368	3.3423101058619	0.00303130735231728	0.0879678071672757	-1.66818514394069
SLFN13	0.877145833333334	1.29631578947368	0.814551983574267	0.424301044591772	0.750593136780714	-5.74757880330114
SLIT1	1.12741666666667	-1.29626315789474	2.28585262596587	0.0325518031972203	0.246669360049891	-3.76649089753753
SLIT2	1.101	-2.13933333333333	0.821735416262929	0.42072807330798	0.748111332923837	-5.58385147421177
SLITRK3	-1.48821568627451	-0.55565	-2.11100700305898	0.0461537860790402	0.290612510124785	-4.07282122956275
SLK	-0.592333333333333	-0.44715	-1.12844785796027	0.271072260745156	0.622841583995236	-5.46332584910585
SLMAP	0.57849019607843	-0.52495	0.793723234399796	0.435684577752985	0.758547253828888	-5.76836047020083
SLN	0.0691960784313739	-1.84885	0.122756316890174	0.903394798528705	0.974119769106705	-6.0684038669807
SLPI	-0.887523809523809	0.0287647058823529	-1.43541118337112	0.167097449173437	0.508417548241598	-5.08891918929918
SLTM	-0.29892156862745	-0.01175	-0.80748278043816	0.42788013696614	0.752886463146135	-5.75776745337712
SLURP1	-0.839895833333334	0.497052631578947	-1.30430898798262	0.205982847983116	0.554284428256231	-5.26108424138538
SLX4	-2.05942857142857	0.187	-2.1282125879726	0.0470750297721119	0.293903375263651	-3.93897689066887
SMAD1	1.83070588235294	0.7501	2.96959416047532	0.00698751066078804	0.126071562656306	-2.42798375729818
SMAD2	-1.12176470588235	-0.5135	-3.13914584501878	0.00469819181116783	0.10747053036508	-2.07350920721732
SMAD3	-1.5831568627451	0.58965	-2.10681179889114	0.0465515041539679	0.292201836516961	-4.08005910656745
SMAD4	-0.732549019607843	-1.007	-2.35911557431763	0.0274369435329123	0.228733166373987	-3.62899154267886
SMAD5	-1.65674509803922	-0.6319	-2.54151585964615	0.0184495227465551	0.194371410590468	-3.28469583642121
SMAD6	-0.862921568627453	-0.59515	-1.17634845368104	0.25180611602716	0.603709881136968	-5.41186416028812
SMAD7	3.16746153846154	0.968214285714286	1.1503777903387	0.266486561613078	0.618315308572838	-5.02987839836424
SMAGP	-1.14907843137255	-3.10005	-1.91589501121831	0.0682283614082019	0.345673695453373	-4.39918140235168
SMARCA1	-1.15839583333333	-0.705157894736842	-2.13722744786779	0.0442730937636633	0.286023622727933	-4.02874519579635
SMARCA2	-3.31235294117647	-0.1245	-4.758797860221	9.05518068537723e-05	0.028840616579932	1.50152225401503
SMARCA4	1.00121568627451	-2.7163	1.94331180124309	0.0646490185143621	0.339999117816855	-4.35462845756465
SMARCA5	0.793333333333332	-1.005	1.20015124321765	0.242620018780254	0.593470619862791	-5.38559375284383
SMARCAD1	1.54202380952381	-0.580764705882353	2.6702108548801	0.014953630470274	0.178928933089338	-3.06617041168535
SMARCB1	1.84617647058824	-3.88475	3.06965541081649	0.00553219734194164	0.114194769685502	-2.21966563032069
SMARCC1	0.802117647058823	-1.5232	1.79668666026785	0.0858843575678191	0.381938477965452	-4.58763752102225
SMARCC2	-0.465490196078431	-0.552	-1.06246817028432	0.299344031555881	0.648744980616522	-5.53109220511799
SMARCD1	-0.0559215686274501	-2.6622	-0.116432051287576	0.908347710437106	0.975045917995394	-6.0691525926386
SMARCD2	-0.802607843137255	-0.35555	-1.14934624826766	0.262537694785153	0.613818180810441	-5.44110586893425
SMARCD3	-0.321019607843137	1.2928	-0.722249763614342	0.477613954183854	0.785897542702288	-5.82061227803848
SMARCE1	-0.791000000000001	0.34265	-1.25664244555305	0.221830155376908	0.572849704589439	-5.32141721414243
SMC1A	1.62697916666667	-0.800578947368421	2.10033335728658	0.0477213030985211	0.295519379770237	-4.09215457612598
SMC1B	1.18835294117647	-0.1309	1.35788976209692	0.188020630765054	0.534844471379338	-5.20009039592586
SMC2	1.91027450980392	0.8374	2.48570001899256	0.0208567669102524	0.205776843913819	-3.39153714648269
SMC3	0.106941176470587	-2.0881	0.131893482583693	0.896246075271278	0.971764285329183	-6.06725230245356
SMC4	-0.839215686274513	0.513	-0.959291880792622	0.347652472238273	0.693668401018601	-5.62965826599894
SMC5	0.580156862745098	-0.1952	1.46791706083877	0.156029194399204	0.493546166240372	-5.05936160559884
SMC6	1.27586274509804	0.55915	2.66680913746524	0.0139594661498585	0.17279428720474	-3.04044524547682
SMCHD1	-2.18298039215686	2.8058	-3.43175394910495	0.0023391053290762	0.0798145470554816	-1.44675502624249
SMCP	-1.80927450980392	1.91645	-2.22068487709647	0.0367841757790503	0.262642339648997	-3.88035857029881
SMG1	0.737058823529411	-1.3355	1.76214283322419	0.0916878801437088	0.392301877634488	-4.64059812848965
SMG5	0.05321568627451	-0.0701	0.150509809346283	0.881709518894906	0.966108254321324	-6.06465082584852
SMG7	1.0035	-2.40694736842105	3.12688767928159	0.00501816063730568	0.109361293888869	-2.12082701667508
SMG9	-0.603725490196077	-0.9485	-1.23840136124683	0.228389156087673	0.578326641732562	-5.34241925749922
SMN1	0.0817254901960776	0.5948	0.108306351236464	0.914716996365304	0.97666360764592	-6.07005654315624
SMN2	1.18972916666667	-0.283789473684211	3.01845303095189	0.00644831078872673	0.121566876479502	-2.34500946782601
SMNDC1	-0.794274509803922	0.4722	-1.50698948296133	0.145787426751249	0.481497346551422	-5.0072325163292
SMO	0.49013725490196	0.26495	0.652286233714573	0.520854556429905	0.811073761930975	-5.86720652899216
SMOC2	-0.430041666666667	0.196526315789474	-0.634995809750368	0.532162381266641	0.818003299286568	-5.87338512143551
SMOX	-1.64374509803921	-1.28385	-1.76126839155624	0.0918390581151591	0.39270828639229	-4.64192889845688
SMPD1	0.659764705882353	0.5128	1.79511499374443	0.0861413604667252	0.382213906192968	-4.59006353747654
SMPD2	-0.699960784313726	-1.4953	-1.51575404176353	0.143567103729994	0.478679962396065	-4.99538742536982
SMPDL3A	0.637375	0.203736842105263	1.28725954671167	0.211752831368648	0.560489712487269	-5.28132433420823
